african_iso3,northern_iso3,year,level,not_yet_country
AGO,HKG,1975,0.0,False
AGO,HKG,1976,0.0,False
AGO,HKG,1977,0.0,False
AGO,HKG,1978,0.0,False
AGO,HKG,1979,0.0,False
AGO,HKG,1980,0.0,False
AGO,HKG,1981,0.0,False
AGO,HKG,1982,0.0,False
AGO,HKG,1983,0.0,False
AGO,HKG,1984,0.0,False
AGO,HKG,1985,0.0,False
AGO,HKG,1986,0.0,False
AGO,HKG,1987,0.0,False
AGO,HKG,1988,0.0,False
AGO,HKG,1989,0.0,False
AGO,HKG,1990,0.0,False
AGO,HKG,1991,0.0,False
AGO,HKG,1992,0.0,False
AGO,HKG,1993,0.0,False
AGO,HKG,1994,0.0,False
AGO,HKG,1995,0.0,False
AGO,HKG,1996,0.0,False
AGO,HKG,1997,0.0,False
AGO,HKG,1998,0.0,False
AGO,HKG,1999,0.0,False
AGO,HKG,2000,0.0,False
AGO,HKG,2001,0.0,False
AGO,HKG,2002,0.0,False
AGO,HKG,2003,0.0,False
AGO,HKG,2004,0.0,False
AGO,HKG,2005,0.0,False
AGO,HKG,2006,0.0,False
AGO,HKG,2007,0.0,False
AGO,HKG,2008,0.0,False
AGO,HKG,2009,0.0,False
AGO,HKG,2010,0.0,False
AGO,HKG,2011,0.0,False
AGO,HKG,2012,0.0,False
AGO,HKG,2013,0.0,False
AGO,HKG,2014,0.0,False
AGO,HKG,2015,0.0,False
AGO,HKG,2016,0.0,False
AGO,HKG,2017,0.0,False
AGO,IRL,1950,0.0,False
AGO,IRL,1951,0.0,False
AGO,IRL,1952,0.0,False
AGO,IRL,1953,0.0,False
AGO,IRL,1954,0.0,False
AGO,IRL,1955,0.0,False
AGO,IRL,1956,0.0,False
AGO,IRL,1957,0.0,False
AGO,IRL,1958,0.0,False
AGO,IRL,1959,0.0,False
AGO,IRL,1960,0.0,False
AGO,IRL,1961,0.0,False
AGO,IRL,1962,0.0,False
AGO,IRL,1963,0.0,False
AGO,IRL,1964,0.0,False
AGO,IRL,1965,0.0,False
AGO,IRL,1966,0.0,False
AGO,IRL,1967,0.0,False
AGO,IRL,1968,0.0,False
AGO,IRL,1969,0.0,False
AGO,IRL,1970,0.0,False
AGO,IRL,1971,0.0,False
AGO,IRL,1972,0.0,False
AGO,IRL,1973,1.0,False
AGO,IRL,1974,1.0,False
AGO,IRL,1975,1.0,False
AGO,IRL,1976,1.0,False
AGO,IRL,1977,1.0,False
AGO,IRL,1978,1.0,False
AGO,IRL,1979,1.0,False
AGO,IRL,1980,1.0,False
AGO,IRL,1981,1.0,False
AGO,IRL,1982,1.0,False
AGO,IRL,1983,1.0,False
AGO,IRL,1984,1.0,False
AGO,IRL,1985,1.0,False
AGO,IRL,1986,1.0,False
AGO,IRL,1987,1.0,False
AGO,IRL,1988,1.0,False
AGO,IRL,1989,1.0,False
AGO,IRL,1990,1.0,False
AGO,IRL,1991,1.0,False
AGO,IRL,1992,1.0,False
AGO,IRL,1993,1.0,False
AGO,IRL,1994,1.0,False
AGO,IRL,1995,1.0,False
AGO,IRL,1996,1.0,False
AGO,IRL,1997,1.0,False
AGO,IRL,1998,1.0,False
AGO,IRL,1999,1.0,False
AGO,IRL,2000,1.0,False
AGO,IRL,2001,1.0,False
AGO,IRL,2002,1.0,False
AGO,IRL,2003,1.0,False
AGO,IRL,2004,1.0,False
AGO,IRL,2005,1.0,False
AGO,IRL,2006,1.0,False
AGO,IRL,2007,1.0,False
AGO,IRL,2008,1.0,False
AGO,IRL,2009,1.0,False
AGO,IRL,2010,1.0,False
AGO,IRL,2011,1.0,False
AGO,IRL,2012,1.0,False
AGO,IRL,2013,1.0,False
AGO,IRL,2014,1.0,False
AGO,IRL,2015,1.0,False
AGO,IRL,2016,1.0,False
AGO,IRL,2017,1.0,False
AGO,ISL,1950,0.0,False
AGO,ISL,1951,0.0,False
AGO,ISL,1952,0.0,False
AGO,ISL,1953,0.0,False
AGO,ISL,1954,0.0,False
AGO,ISL,1955,0.0,False
AGO,ISL,1956,0.0,False
AGO,ISL,1957,0.0,False
AGO,ISL,1958,0.0,False
AGO,ISL,1959,0.0,False
AGO,ISL,1960,0.0,False
AGO,ISL,1961,0.0,False
AGO,ISL,1962,0.0,False
AGO,ISL,1963,0.0,False
AGO,ISL,1964,0.0,False
AGO,ISL,1965,0.0,False
AGO,ISL,1966,0.0,False
AGO,ISL,1967,0.0,False
AGO,ISL,1968,0.0,False
AGO,ISL,1969,0.0,False
AGO,ISL,1970,0.0,False
AGO,ISL,1971,0.0,False
AGO,ISL,1972,0.0,False
AGO,ISL,1973,0.0,False
AGO,ISL,1974,0.0,False
AGO,ISL,1975,0.0,False
AGO,ISL,1976,0.0,False
AGO,ISL,1977,0.0,False
AGO,ISL,1978,0.0,False
AGO,ISL,1979,0.0,False
AGO,ISL,1980,0.0,False
AGO,ISL,1981,0.0,False
AGO,ISL,1982,0.0,False
AGO,ISL,1983,0.0,False
AGO,ISL,1984,0.0,False
AGO,ISL,1985,0.0,False
AGO,ISL,1986,0.0,False
AGO,ISL,1987,0.0,False
AGO,ISL,1988,0.0,False
AGO,ISL,1989,0.0,False
AGO,ISL,1990,0.0,False
AGO,ISL,1991,0.0,False
AGO,ISL,1992,0.0,False
AGO,ISL,1993,0.0,False
AGO,ISL,1994,0.0,False
AGO,ISL,1995,0.0,False
AGO,ISL,1996,0.0,False
AGO,ISL,1997,0.0,False
AGO,ISL,1998,0.0,False
AGO,ISL,1999,0.0,False
AGO,ISL,2000,0.0,False
AGO,ISL,2001,0.0,False
AGO,ISL,2002,0.0,False
AGO,ISL,2003,0.0,False
AGO,ISL,2004,1.0,False
AGO,ISL,2005,1.0,False
AGO,ISL,2006,1.0,False
AGO,ISL,2007,1.0,False
AGO,ISL,2008,1.0,False
AGO,ISL,2009,1.0,False
AGO,ISL,2010,1.0,False
AGO,ISL,2011,1.0,False
AGO,ISL,2012,1.0,False
AGO,ISL,2013,1.0,False
AGO,ISL,2014,1.0,False
AGO,ISL,2015,1.0,False
AGO,ISL,2016,1.0,False
AGO,ISL,2017,1.0,False
AGO,ISR,1950,0.0,False
AGO,ISR,1951,0.0,False
AGO,ISR,1952,0.0,False
AGO,ISR,1953,0.0,False
AGO,ISR,1954,0.0,False
AGO,ISR,1955,0.0,False
AGO,ISR,1956,0.0,False
AGO,ISR,1957,0.0,False
AGO,ISR,1958,0.0,False
AGO,ISR,1959,0.0,False
AGO,ISR,1960,0.0,False
AGO,ISR,1961,0.0,False
AGO,ISR,1962,0.0,False
AGO,ISR,1963,0.0,False
AGO,ISR,1964,0.0,False
AGO,ISR,1965,0.0,False
AGO,ISR,1966,0.0,False
AGO,ISR,1967,0.0,False
AGO,ISR,1968,0.0,False
AGO,ISR,1969,0.0,False
AGO,ISR,1970,0.0,False
AGO,ISR,1971,0.0,False
AGO,ISR,1972,0.0,False
AGO,ISR,1973,0.0,False
AGO,ISR,1974,0.0,False
AGO,ISR,1975,0.0,False
AGO,ISR,1976,0.0,False
AGO,ISR,1977,0.0,False
AGO,ISR,1978,0.0,False
AGO,ISR,1979,0.0,False
AGO,ISR,1980,0.0,False
AGO,ISR,1981,0.0,False
AGO,ISR,1982,0.0,False
AGO,ISR,1983,0.0,False
AGO,ISR,1984,0.0,False
AGO,ISR,1985,0.0,False
AGO,ISR,1986,0.0,False
AGO,ISR,1987,0.0,False
AGO,ISR,1988,0.0,False
AGO,ISR,1989,0.0,False
AGO,ISR,1990,0.0,False
AGO,ISR,1991,0.0,False
AGO,ISR,1992,0.0,False
AGO,ISR,1993,0.0,False
AGO,ISR,1994,0.0,False
AGO,ISR,1995,0.0,False
AGO,ISR,1996,0.0,False
AGO,ISR,1997,0.0,False
AGO,ISR,1998,0.0,False
AGO,ISR,1999,0.0,False
AGO,ISR,2000,0.0,False
AGO,ISR,2001,0.0,False
AGO,ISR,2002,0.0,False
AGO,ISR,2003,0.0,False
AGO,ISR,2004,0.0,False
AGO,ISR,2005,0.0,False
AGO,ISR,2006,0.0,False
AGO,ISR,2007,0.0,False
AGO,ISR,2008,0.0,False
AGO,ISR,2009,0.0,False
AGO,ISR,2010,0.0,False
AGO,ISR,2011,0.0,False
AGO,ISR,2012,0.0,False
AGO,ISR,2013,0.0,False
AGO,ISR,2014,0.0,False
AGO,ISR,2015,0.0,False
AGO,ISR,2016,0.0,False
AGO,ISR,2017,0.0,False
AGO,ITA,1950,0.0,False
AGO,ITA,1951,0.0,False
AGO,ITA,1952,0.0,False
AGO,ITA,1953,0.0,False
AGO,ITA,1954,0.0,False
AGO,ITA,1955,0.0,False
AGO,ITA,1956,0.0,False
AGO,ITA,1957,0.0,False
AGO,ITA,1958,0.0,False
AGO,ITA,1959,0.0,False
AGO,ITA,1960,0.0,False
AGO,ITA,1961,0.0,False
AGO,ITA,1962,0.0,False
AGO,ITA,1963,0.0,False
AGO,ITA,1964,0.0,False
AGO,ITA,1965,0.0,False
AGO,ITA,1966,0.0,False
AGO,ITA,1967,0.0,False
AGO,ITA,1968,0.0,False
AGO,ITA,1969,0.0,False
AGO,ITA,1970,0.0,False
AGO,ITA,1971,0.0,False
AGO,ITA,1972,1.0,False
AGO,ITA,1973,1.0,False
AGO,ITA,1974,1.0,False
AGO,ITA,1975,1.0,False
AGO,ITA,1976,1.0,False
AGO,ITA,1977,1.0,False
AGO,ITA,1978,1.0,False
AGO,ITA,1979,1.0,False
AGO,ITA,1980,1.0,False
AGO,ITA,1981,1.0,False
AGO,ITA,1982,1.0,False
AGO,ITA,1983,1.0,False
AGO,ITA,1984,1.0,False
AGO,ITA,1985,1.0,False
AGO,ITA,1986,1.0,False
AGO,ITA,1987,1.0,False
AGO,ITA,1988,1.0,False
AGO,ITA,1989,1.0,False
AGO,ITA,1990,1.0,False
AGO,ITA,1991,1.0,False
AGO,ITA,1992,1.0,False
AGO,ITA,1993,1.0,False
AGO,ITA,1994,1.0,False
AGO,ITA,1995,1.0,False
AGO,ITA,1996,1.0,False
AGO,ITA,1997,1.0,False
AGO,ITA,1998,1.0,False
AGO,ITA,1999,1.0,False
AGO,ITA,2000,1.0,False
AGO,ITA,2001,1.0,False
AGO,ITA,2002,1.0,False
AGO,ITA,2003,1.0,False
AGO,ITA,2004,1.0,False
AGO,ITA,2005,1.0,False
AGO,ITA,2006,1.0,False
AGO,ITA,2007,1.0,False
AGO,ITA,2008,1.0,False
AGO,ITA,2009,1.0,False
AGO,ITA,2010,1.0,False
AGO,ITA,2011,1.0,False
AGO,ITA,2012,1.0,False
AGO,ITA,2013,1.0,False
AGO,ITA,2014,1.0,False
AGO,ITA,2015,1.0,False
AGO,ITA,2016,1.0,False
AGO,ITA,2017,1.0,False
AGO,JPN,1950,0.0,False
AGO,JPN,1951,0.0,False
AGO,JPN,1952,0.0,False
AGO,JPN,1953,0.0,False
AGO,JPN,1954,0.0,False
AGO,JPN,1955,0.0,False
AGO,JPN,1956,0.0,False
AGO,JPN,1957,0.0,False
AGO,JPN,1958,0.0,False
AGO,JPN,1959,0.0,False
AGO,JPN,1960,0.0,False
AGO,JPN,1961,0.0,False
AGO,JPN,1962,0.0,False
AGO,JPN,1963,0.0,False
AGO,JPN,1964,0.0,False
AGO,JPN,1965,0.0,False
AGO,JPN,1966,0.0,False
AGO,JPN,1967,0.0,False
AGO,JPN,1968,0.0,False
AGO,JPN,1969,0.0,False
AGO,JPN,1970,0.0,False
AGO,JPN,1971,0.0,False
AGO,JPN,1972,0.0,False
AGO,JPN,1973,0.0,False
AGO,JPN,1974,0.0,False
AGO,JPN,1975,0.0,False
AGO,JPN,1976,0.0,False
AGO,JPN,1977,0.0,False
AGO,JPN,1978,0.0,False
AGO,JPN,1979,0.0,False
AGO,JPN,1980,0.0,False
AGO,JPN,1981,0.0,False
AGO,JPN,1982,0.0,False
AGO,JPN,1983,0.0,False
AGO,JPN,1984,0.0,False
AGO,JPN,1985,0.0,False
AGO,JPN,1986,0.0,False
AGO,JPN,1987,0.0,False
AGO,JPN,1988,0.0,False
AGO,JPN,1989,0.0,False
AGO,JPN,1990,0.0,False
AGO,JPN,1991,0.0,False
AGO,JPN,1992,0.0,False
AGO,JPN,1993,0.0,False
AGO,JPN,1994,0.0,False
AGO,JPN,1995,0.0,False
AGO,JPN,1996,0.0,False
AGO,JPN,1997,0.0,False
AGO,JPN,1998,0.0,False
AGO,JPN,1999,0.0,False
AGO,JPN,2000,1.0,False
AGO,JPN,2001,1.0,False
AGO,JPN,2002,1.0,False
AGO,JPN,2003,1.0,False
AGO,JPN,2004,1.0,False
AGO,JPN,2005,1.0,False
AGO,JPN,2006,1.0,False
AGO,JPN,2007,1.0,False
AGO,JPN,2008,1.0,False
AGO,JPN,2009,1.0,False
AGO,JPN,2010,1.0,False
AGO,JPN,2011,1.0,False
AGO,JPN,2012,1.0,False
AGO,JPN,2013,1.0,False
AGO,JPN,2014,1.0,False
AGO,JPN,2015,1.0,False
AGO,JPN,2016,1.0,False
AGO,JPN,2017,1.0,False
AGO,KOR,1950,0.0,False
AGO,KOR,1951,0.0,False
AGO,KOR,1952,0.0,False
AGO,KOR,1953,0.0,False
AGO,KOR,1954,0.0,False
AGO,KOR,1955,0.0,False
AGO,KOR,1956,0.0,False
AGO,KOR,1957,0.0,False
AGO,KOR,1958,0.0,False
AGO,KOR,1959,0.0,False
AGO,KOR,1960,0.0,False
AGO,KOR,1961,0.0,False
AGO,KOR,1962,0.0,False
AGO,KOR,1963,0.0,False
AGO,KOR,1964,0.0,False
AGO,KOR,1965,0.0,False
AGO,KOR,1966,0.0,False
AGO,KOR,1967,0.0,False
AGO,KOR,1968,0.0,False
AGO,KOR,1969,0.0,False
AGO,KOR,1970,0.0,False
AGO,KOR,1971,0.0,False
AGO,KOR,1972,0.0,False
AGO,KOR,1973,0.0,False
AGO,KOR,1974,0.0,False
AGO,KOR,1975,0.0,False
