iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change
ZAF,1966,1967,Manufacturing,0.304580046267886,0.3089102215620089,245.86883650289295,241.53290909493285,-1.320636970530682,1.0458798356805201
ZAF,1966,1967,Services,0.4512531976087628,0.4581656933799173,160.27066193998365,164.4287418313165,1.876346846876644,1.1366129825652291
ZAF,1967,1968,Agriculture,0.23292408505807394,0.2222686121344872,26.264379310105266,23.704177275614775,-0.5963327164475171,-0.2525792191362132
ZAF,1967,1968,Manufacturing,0.3089102215620089,0.30763674198773233,241.53290909493285,247.69630165037645,1.9039349598757211,-0.31543618077560787
ZAF,1967,1968,Services,0.4581656933799173,0.47009464587778044,164.4287418313165,169.264278582912,2.2154770486588244,2.019145538800629
ZAF,1968,1969,Agriculture,0.2222686121344872,0.21264677704629661,23.704177275614775,25.46711450992073,0.3918456123493959,-0.24504037598652295
ZAF,1968,1969,Manufacturing,0.30763674198773233,0.31163145305198653,247.69630165037645,251.79851392040783,1.2619912176945514,1.0058623095206176
ZAF,1968,1969,Services,0.47009464587778044,0.47572176990171683,169.264278582912,172.62675583495073,1.5806825530692388,0.9713921649330529
ZAF,1969,1970,Agriculture,0.21264677704629661,0.2021541563575816,25.46711450992073,24.39295946678387,-0.2284156079710787,-0.2559460711601631
ZAF,1969,1970,Manufacturing,0.31163145305198653,0.31750259870825986,251.79851392040783,253.5191428067145,0.5362020800029734,1.4884478140717814
ZAF,1969,1970,Services,0.47572176990171683,0.4803432449341586,172.62675583495073,176.57485570262799,1.8781970568001587,0.8160362869867013
ZAF,1970,1971,Agriculture,0.2021541563575816,0.19819273636968468,24.39295946678387,29.195011787633565,0.9707548357063365,-0.11565370324241793
ZAF,1970,1971,Manufacturing,0.31750259870825986,0.31569220807044307,253.5191428067145,253.79173617716978,0.08654910351019122,-0.45946218313041803
ZAF,1970,1971,Services,0.4803432449341586,0.4861150555598723,176.57485570262799,180.70066064654088,1.981802534724515,1.0429699931931886
ZAF,1971,1972,Agriculture,0.19819273636968468,0.19391661580721287,29.195011787633565,29.299809836828253,0.020770212136100055,-0.1252895193197752
ZAF,1971,1972,Manufacturing,0.31569220807044307,0.315659663946231,253.79173617716978,248.66555599314586,-1.6182951412614623,-0.008092602741500102
ZAF,1971,1972,Services,0.4861150555598723,0.49042372024655617,180.70066064654088,183.5595649139044,1.3897564067697772,0.7908966152475998
ZAF,1972,1973,Agriculture,0.19391661580721287,0.1898579300395048,29.299809836828253,25.909743240753894,-0.6573902416718174,-0.1051595061362182
ZAF,1972,1973,Manufacturing,0.315659663946231,0.32354416346927534,248.66555599314586,246.59177615700216,-0.6546086461755904,1.9442527414965352
ZAF,1972,1973,Services,0.49042372024655617,0.48659790649121976,183.5595649139044,194.07593540692886,5.157477540680163,-0.7424983832596102
ZAF,1973,1974,Agriculture,0.1898579300395048,0.18466697173486427,25.909743240753894,34.28929174429134,1.5909237335472495,-0.17799428374027113
ZAF,1973,1974,Manufacturing,0.32354416346927534,0.3308241061998587,246.59177615700216,235.76012714469388,-3.5045168186800835,1.7163202237684219
ZAF,1973,1974,Services,0.48659790649121976,0.4845089220652771,194.07593540692886,204.90970571205798,5.271689949882574,-0.4280531839569768
ZAF,1974,1975,Agriculture,0.18466697173486427,0.17880696467123133,34.28929174429134,31.95074074257811,-0.43185313173391576,-0.18723156643981226
ZAF,1974,1975,Manufacturing,0.3308241061998587,0.3237102358436223,235.76012714469388,235.73367291752038,-0.008751696059881957,-1.6769787877346747
ZAF,1974,1975,Services,0.4845089220652771,0.4974827994851463,204.90970571205798,207.2238327198298,1.121215182057668,2.688496604182544
ZAF,1975,1976,Agriculture,0.17880696467123133,0.17274654235459733,31.95074074257811,31.88628370499646,-0.01152536724167444,-0.19324434536028381
ZAF,1975,1976,Manufacturing,0.3237102358436223,0.3256569662663157,235.73367291752038,241.10608666242453,1.7391053204124407,0.46936855400229033
ZAF,1975,1976,Services,0.4974827994851463,0.5015964913790869,207.2238327198298,209.33796811596645,1.0517459953606976,0.8611519025326508
ZAF,1976,1977,Agriculture,0.17274654235459733,0.1660583312272655,31.88628370499646,36.6163888261052,0.8171093046453091,-0.244898139189466
ZAF,1976,1977,Manufacturing,0.3256569662663157,0.32001477234537684,241.10608666242453,240.2868306974296,-0.2667964121558342,-1.355744895442698
ZAF,1976,1977,Services,0.5015964913790869,0.5139268964273578,209.33796811596645,201.47631620836444,-3.9433770132968737,2.4842845864826364
ZAF,1977,1978,Agriculture,0.1660583312272655,0.15862981802809384,36.6163888261052,39.28185364538367,0.4426226398343674,-0.2918057682926615
ZAF,1977,1978,Manufacturing,0.32001477234537684,0.31748104045242714,240.2868306974296,243.93995447822036,1.1690535750592388,-0.6180784426261644
ZAF,1977,1978,Services,0.5139268964273578,0.5238891415194791,201.47631620836444,199.25765963248315,-1.1402272882808164,1.98505364174128
ZAF,1978,1979,Agriculture,0.15862981802809384,0.1509386337292975,39.28185364538367,39.82618185168262,0.0863466843127611,-0.30631050453866904
ZAF,1978,1979,Manufacturing,0.31748104045242714,0.3237451574910864,243.93995447822036,246.80801169777766,0.9105537901421471,1.546034271353662
ZAF,1978,1979,Services,0.5238891415194791,0.525316208779616,199.25765963248315,201.05985040018422,0.9441481741452409,0.2869259298341403
ZAF,1979,1980,Agriculture,0.1509386337292975,0.1429389077382467,39.82618185168262,45.60757207734262,0.8726351417170349,-0.36484807973584094
ZAF,1979,1980,Manufacturing,0.3237451574910864,0.33707759448376856,246.80801169777766,240.69659904093285,-1.9785402530832403,3.209072241066119
ZAF,1979,1980,Services,0.525316208779616,0.5199834977779847,201.05985040018422,213.3907827617195,6.477638638879589,-1.1379513748801473
ZAF,1980,1981,Agriculture,0.1429389077382467,0.14180585562683987,45.60757207734262,47.41046752267031,0.25770390572140023,-0.05371853032934624
ZAF,1980,1981,Manufacturing,0.33707759448376856,0.34464112557730375,240.69659904093285,239.1239922211111,-0.5300905238942825,1.8086217503746411
ZAF,1980,1981,Services,0.5199834977779847,0.5135530187958565,213.3907827617195,222.37042060593583,4.6692634950151755,-1.4299483159534845
ZAF,1981,1982,Agriculture,0.14180585562683987,0.140517816174853,47.41046752267031,42.65974424526721,-0.6736803791984911,-0.05494743359957339
ZAF,1981,1982,Manufacturing,0.34464112557730375,0.34309715269428803,239.1239922211111,227.7064425945854,-3.9349571546205406,-0.35157257265401576
ZAF,1981,1982,Services,0.5135530187958565,0.5163850311308589,222.37042060593583,219.5860795376712,-1.4299067609645846,0.6218704858455051
ZAF,1982,1983,Agriculture,0.140517816174853,0.13934478936358963,42.65974424526721,32.42565222057809,-1.4380722618417958,-0.03803615942744016
ZAF,1982,1983,Manufacturing,0.34309715269428803,0.3370353140081548,227.7064425945854,223.38165431227182,-1.483822545667414,-1.354103553882573
ZAF,1982,1983,Services,0.5163850311308589,0.5236198966282556,219.5860795376712,217.45890022519305,-1.0984435554949474,1.5732858943410837
ZAF,1983,1984,Agriculture,0.13934478936358963,0.1380120299552503,32.42565222057809,35.57866204372376,0.4393554896675628,-0.04741779657489802
ZAF,1983,1984,Manufacturing,0.3370353140081548,0.3360961366377054,223.38165431227182,229.29755015138454,1.9938658117748924,-0.21535107020166827
ZAF,1983,1984,Services,0.5236198966282556,0.5258918334070443,217.45890022519305,223.1952862065828,3.00368583459508,0.507085579585
